source_url	parsed_url
https://www.politico.com/tipsheets/morning-money	https://twitter.com/politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/space
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/pro-canada
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-120x120.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/california
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2022-election/results/senate/
https://www.politico.com/tipsheets/morning-money	https://policies.google.com/privacy
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/feedback
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/notices/tos
https://www.mediamatters.org/	https://www.mediamatters.org/elon-musk/after-nearly-two-months-chaos-users-want-musk-step-down
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-fox-news-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/federalist/conservative-organizations-and-right-wing-media-are-using-anti-lgbtq-alarmism-stoke-fear
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/vdare/white-nationalists-embrace-fox-news-bill-melugin
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/qanon-supporters-see-elon-musks-takeover-green-light-rejoin-twitter
https://www.mediamatters.org/	https://www.mediamatters.org/?page=1
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/elon-musk/new-coalition-letter-urges-top-twitter-advertisers-protect-their-brand-safety-it-too-late
https://www.mediamatters.org/	https://www.mediamatters.org/climate-deniers/great-reset-conspiracy-theory-hotbed-climate-denial
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.mediamatters.org/google/googles-ad-network-driving-and-monetizing-traffic-fringe-video-sharing-platform-rumble
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-host-claims-biden-administration-hopes-rescind-title-42-goal-changing-america-forever
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/ron-desantis-and-triumph-anti-vax-right
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/exit-polls-and-ballot-measures-prove-mainstream-pundits-wrong-and-show-abortion-winning-issue
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_RU1WYR7X70QjhvL62_lE-Mmsn10zn8D85_M4ztVfCCs.css
https://www.mediamatters.org/	https://www.mediamatters.org/elon-musk/elon-musks-twitter-continues-favor-right-wing-content-reinstating-dozens-accounts
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/#arrow
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/musks-twitter-files-repackage-debunked-claims-falsely-allege-crime-collusion-and-conspiracy
